"country","HDI","GII","matMort_log","adolBirthRate","reprParl","eduRatio","labRatio","eduRatioT","eduIneq"
"Azerbaijan",0.751,0.303,1.41497334797082,40,15.6,0.962012320328542,0.903735632183908,3,0.037987679671458
"Jordan",0.748,0.473,1.69897000433602,26.5,11.6,0.885350318471338,0.234234234234234,3,0.114649681528662
"The former Yugoslav Republic of Macedonia",0.747,0.164,0.845098040014257,18.3,33.3,0.723021582733813,0.638518518518518,2,0.276978417266187
"Ukraine",0.747,0.286,1.36172783601759,25.7,11.8,0.956204379562044,0.795216741405082,3,0.043795620437956
"Algeria",0.736,0.413,1.94939000664491,10,25.7,0.861290322580645,0.210526315789474,2,0.138709677419355
"Peru",0.734,0.406,1.94939000664491,50.7,22.3,0.851739788199697,0.808056872037915,2,0.148260211800303
"Albania",0.733,0.217,1.32221929473392,15.3,20.7,0.930602957906712,0.685496183206107,3,0.069397042093288
"Armenia",0.733,0.318,1.46239799789896,27.1,10.7,0.989473684210526,0.746556473829201,4,0.010526315789474
"Bosnia and Herzegovina",0.733,0.201,0.903089986991944,15.1,19.3,0.643266475644699,0.595113438045375,1,0.356733524355301
"Ecuador",0.732,0.407,1.93951925261862,77,41.6,1.01776649746193,0.66142684401451,5,0.01776649746193
"China",0.727,0.191,1.50514997831991,8.6,23.6,0.816411682892907,0.816091954022989,2,0.183588317107093
"Fiji",0.727,0.418,1.77085201164214,42.8,14,0.995348837209302,0.520833333333333,4,0.00465116279069799
"Mongolia",0.727,0.325,1.83250891270624,18.7,14.9,1.01426872770511,0.816738816738817,5,0.0142687277051099
"Thailand",0.726,0.38,1.41497334797082,41,6.1,0.875,0.796778190830235,2,0.125
"Libya",0.724,0.134,1.17609125905568,2.5,16,1.32458233890215,0.392670157068063,5,0.32458233890215
"Tunisia",0.721,0.24,1.66275783168157,4.6,31.3,0.711496746203904,0.354019746121298,2,0.288503253796096
"Colombia",0.72,0.429,1.91907809237607,68.5,20.9,1.02338129496403,0.700125470514429,5,0.02338129496403
"Jamaica",0.719,0.43,1.90308998699194,70.1,16.7,1.05413105413105,0.791255289139633,5,0.05413105413105
"Tonga",0.717,0.666,2.07918124604762,18.1,0,0.990939977349943,0.7171581769437,4,0.00906002265005701
"Belize",0.715,0.426,1.65321251377534,71.4,13.3,1.00791556728232,0.597812879708384,5,0.0079155672823199
"Dominican Republic",0.715,0.477,2,99.6,19.1,1.04708097928437,0.652671755725191,5,0.0470809792843701
"Suriname",0.714,0.463,2.11394335230684,35.2,11.8,0.94692144373673,0.588662790697674,3,0.05307855626327
"Maldives",0.706,0.243,1.49136169383427,4.2,5.9,0.834862385321101,0.725161290322581,2,0.165137614678899
"Samoa",0.702,0.457,1.76342799356294,28.3,6.1,1.07166666666667,0.402397260273973,5,0.0716666666666701
"Botswana",0.698,0.48,2.23044892137827,44.2,9.5,0.944801026957638,0.881127450980392,3,0.055198973042362
"Moldova (Republic of)",0.693,0.248,1.32221929473392,29.3,20.8,0.968944099378882,0.850678733031674,4,0.031055900621118
"Egypt",0.69,0.573,1.65321251377534,43,2.2,0.724422442244224,0.316844919786096,2,0.275577557755776
"Gabon",0.684,0.514,2.38021124171161,103,16.2,1.49307479224377,0.859327217125382,5,0.49307479224377
"Indonesia",0.684,0.494,2.27875360095283,48.3,17.1,0.810975609756098,0.610451306413302,2,0.189024390243902
"Paraguay",0.679,0.472,2.04139268515822,67,16.8,0.855813953488372,0.65683962264151,2,0.144186046511628
"Philippines",0.668,0.42,2.07918124604762,46.8,27.1,1.03453689167975,0.641154328732748,5,0.0345368916797499
"El Salvador",0.666,0.427,1.83884909073726,76,27.4,0.844036697247706,0.605063291139241,2,0.155963302752294
"South Africa",0.666,0.407,2.14612803567824,50.9,40.7,0.957839262187088,0.735537190082645,3,0.042160737812912
"Viet Nam",0.666,0.308,1.69019608002851,29,24.3,0.834269662921348,0.888077858880779,2,0.165730337078652
"Bolivia (Plurinational State of)",0.662,0.444,2.30102999566398,71.9,51.8,0.805414551607445,0.793572311495674,2,0.194585448392555
