"country","HDI","lifeExp","expEdu","meanEdu","GNIC_log","GNICr_HDIr","GII","matMort_log","adolBirthRate_log","reprParl","edu2F","edu2M","labF","labM","eduRatio","labRatio"
"United Arab Emirates",0.835,77,13.3,9.5,4.78438903194467,-34,0.232,0.903089986991944,1.44090908206522,17.5,73.1,61.2,46.5,92,1.19444444444444,0.505434782608696
"Chile",0.832,81.7,15.2,9.8,4.32817566143832,11,0.338,1.34242268082221,1.7427251313047,15.8,73.3,76.4,49.2,74.8,0.959424083769633,0.657754010695187
"Portugal",0.83,80.9,16.3,8.2,4.4108952779689,-2,0.111,0.903089986991944,1.10037054511756,31.3,47.7,48.2,54.9,66.2,0.989626556016598,0.829305135951662
"Hungary",0.828,75.2,15.4,11.6,4.36013881357758,3,0.209,1.14612803567824,1.08278537031645,10.1,97.9,98.7,44.8,60,0.991894630192503,0.746666666666667
"Bahrain",0.824,76.6,14.4,9.4,4.58657605337363,-20,0.265,1.34242268082221,1.13987908640124,15,56.7,51.4,39.2,86.9,1.10311284046693,0.451093210586881
"Latvia",0.819,74.2,15.2,11.5,4.34793467863526,4,0.167,1.11394335230684,1.13033376849501,18,98.9,99,54.9,67.6,0.998989898989899,0.812130177514793
"Croatia",0.818,77.3,14.8,11,4.28800316003186,11,0.149,1.11394335230684,1.10380372095596,25.8,85,93.6,44.7,58.4,0.908119658119658,0.76541095890411
"Kuwait",0.816,74.4,14.7,7.2,4.92407760251512,-46,0.387,1.14612803567824,1.16136800223497,1.5,55.6,56.3,43.6,83.1,0.987566607460036,0.524669073405536
"Montenegro",0.802,76.2,15.2,11.2,4.16310171504398,27,0.171,0.845098040014257,1.18184358794477,17.3,84.2,94.7,43,57.3,0.889123548046463,0.75043630017452
"Belarus",0.798,71.3,15.7,12,4.22209188645426,14,0.151,0,1.31386722036915,30.1,87,92.2,50.1,63.1,0.943600867678959,0.793977812995246
"Russian Federation",0.798,70.1,14.7,12,4.34931638877011,-1,0.276,1.38021124171161,1.40993312333129,14.5,89.6,92.5,57.1,71.7,0.968648648648649,0.796373779637378
"Oman",0.793,76.8,13.6,8,4.54230246556568,-23,0.275,1.04139268515823,1.02530586526477,9.6,47.2,57.1,29,82.6,0.82661996497373,0.351089588377724
"Romania",0.793,74.7,14.2,10.8,4.25787048582322,10,0.333,1.51851393987789,1.49136169383427,12,86.1,92,48.7,64.9,0.935869565217391,0.750385208012327
"Uruguay",0.793,77.2,15.5,8.5,4.28517460125202,7,0.313,1.14612803567824,1.76566855475901,11.5,54.4,50.3,55.6,76.8,1.08151093439364,0.723958333333333
